creditscore,firstpaymentdate,firsttimehomebuyer,maturitydate,msa,mip,units,ocltv,dti,origupb,ltv,originterestrate,ppm,producttype,propertystate,postalcode,loanseqnum,origloanterm,numborrowers,sellername,servicername,everdelinquent,monthsdelinquent,monthsinrepayment,computedmaturity,date_diff,creditscorecategory,dticategory,loanriskcategory,delinquencyflag,loancorrectionindicator,loanpurpose_Refinance,occupancy_Primary Residence,occupancy_Second Home,propertytype_CP,propertytype_LH,propertytype_MH,propertytype_PU,propertytype_SF,propertytype_X ,channel_C,channel_R,channel_T,loanperformancecategory_Short Delinquency,loanperformancecategory_Moderate Delinquency,loanperformancecategory_Severe Delinquency,loan_to_income_simple,credit_dti_interaction
-1.1168048038400875,1970-01-01 00:00:00.000199903,-0.33321448356524214,1970-01-01 00:00:00.000202902,42644,-0.728237408955811,-0.12707410274068895,0.2001594373769752,-0.1548875958260056,1.5240375516289195,0.20178066331790756,0.5798610383984407,N,FRM  ,WA,98000,F199Q1296457,0.07179781220403987,0.7420525492687906,CR,HOMESIDELENDINGINC ,-0.4959740853181712,-0.20813016434737933,-0.5810211312908478,2000-01-01 00:00:00.000199903,0.07183668368382802,,20-35%,Low Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,1.8033548485405333,0.17297921107372494
-0.09751143617362179,1970-01-01 00:00:00.000199905,-0.33321448356524214,1970-01-01 00:00:00.000202904,14260,-0.728237408955811,-0.12707410274068895,-1.899862839061106,0.14808077418448456,-1.216625869636512,-1.8997493701458494,-0.1486051021483593,N,FRM  ,ID,83600,F199Q1067630,0.07179781220403987,-1.3476134553885541,FL,CHASEMANHATTANMTGECO,-0.4959740853181712,-0.20813016434737933,-0.40749200924358686,2000-01-01 00:00:00.000199905,0.07183668368382802,,20-35%,Low Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,-1.0597040704742373,-0.014439568960430868
0.4513388387237059,1970-01-01 00:00:00.000199903,-0.33321448356524214,1970-01-01 00:00:00.000202902,38060,1.249136723387989,-0.12707410274068895,0.7907907026251856,1.5871805317343128,1.918242564276687,0.7928359852295892,-0.5128381724217593,N,FRM  ,AZ,85200,F199Q1320321,0.07179781220403987,-1.3476134553885541,ST,ABNAMROMTGEGROUPINC,-0.4959740853181712,-0.20813016434737933,-0.7111679728262935,2000-01-01 00:00:00.000199903,0.07183668368382802,,>50%,High Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,0.7414413260874362,0.7163562180378388
-0.6071581200068547,1970-01-01 00:00:00.000199904,-0.33321448356524214,1970-01-01 00:00:00.000202903,39340,1.249136723387989,-0.12707410274068895,0.7907907026251856,0.7540175142054648,-0.05278249896215067,0.7928359852295892,0.9440941086718407,N,FRM  ,UT,84000,F199Q1053678,0.07179781220403987,0.7420525492687906,NO,WELLSFARGOHOMEMORTGA,-0.4959740853181712,-0.20813016434737933,-0.3641097287317716,2000-01-01 00:00:00.000199904,0.07183668368382802,,35-50%,Medium Risk,-0.4959740853181712,-0.33321448356524214,1.2826189009046802,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,1.169567209448286,-1.1649480410966973,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,-0.030092344309378287,-0.4578078563772318
-1.1364065993721348,1970-01-01 00:00:00.000199904,-0.33321448356524214,1970-01-01 00:00:00.000202903,15980,-0.728237408955811,-0.12707410274068895,-0.2592204355938551,-0.23062968832862812,-1.4418858768638076,-0.2579290315022893,0.9440941086718407,N,FRM  ,FL,33900,F199Q1288404,0.07179781220403987,-1.3476134553885541,FL,CHASEMANHATTANMTGECO,2.0162343751458147,2.069931612253354,-0.6677856923144783,2000-01-01 00:00:00.000199904,0.07183668368382802,,20-35%,Low Risk,2.0162343751458147,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,5.1268664390774,-1.874111666372296,0.2620890998277916
-0.9599904395837081,1970-01-01 00:00:00.000199903,-0.33321448356524214,1970-01-01 00:00:00.000202902,45500,-0.728237408955811,-0.12707410274068895,-0.19359473945516506,1.738664716739558,0.6605408572576191,-0.19225621795654688,0.9440941086718407,N,FRM  ,TX,75500,F199Q1182354,0.07179781220403987,0.7420525492687906,FL,JPMORGANCHASEBANKNA,2.0162343751458147,1.728222345763244,2.455738504536219,2000-01-01 00:00:00.000199903,0.07183668368382802,,>50%,High Risk,2.0162343751458147,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,5.1268664390774,0.24119084502027247,-1.6691015057114915
-0.5679545289427598,1970-01-01 00:00:00.000199905,-0.33321448356524214,1970-01-01 00:00:00.000202904,17460,0.6163770010379731,-0.12707410274068895,0.2001594373769752,0.6782754217028423,-0.46575917887885954,0.20178066331790756,1.6725602492186409,N,FRM  ,OH,44100,F199Q1164769,0.07179781220403987,-1.3476134553885541,CO,COUNTRYWIDE         ,-0.4959740853181712,-0.20813016434737933,-0.32072744821995636,2000-01-01 00:00:00.000199905,0.07183668368382802,,35-50%,Medium Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,-0.2775224929447412,-0.3852295976266895
0.9021801359607965,1970-01-01 00:00:00.000199906,-0.33321448356524214,1970-01-01 00:00:00.000202905,36540,-0.728237408955811,-0.12707410274068895,0.003282348960905063,-1.063792705857476,-0.18418416984473984,0.00476222268068034,0.2156279681250407,N,FRM  ,NE,68100,F199Q1169413,0.07179781220403987,0.7420525492687906,Ot,Other servicers     ,-0.4959740853181712,-0.20813016434737933,-0.9497705156412773,2000-01-01 00:00:00.000199906,0.07183668368382802,,<20%,Low Risk,-0.4959740853181712,-0.33321448356524214,1.2826189009046802,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,2.8872293057491407,-0.9597326480046013
1.4706322063901716,1970-01-01 00:00:00.000199905,-0.33321448356524214,1970-01-01 00:00:00.000202904,41180,-0.728237408955811,-0.12707410274068895,-1.2436058776742058,0.14808077418448456,-1.1227675332918055,-1.2430212346884253,1.3083271789452409,N,FRM  ,IL,62200,F199Q1388500,0.07179781220403987,0.7420525492687906,GM,GMACMTGECORP        ,-0.4959740853181712,-0.20813016434737933,-0.29903630796404873,2000-01-01 00:00:00.000199905,0.07183668368382802,,20-35%,Low Risk,-0.4959740853181712,-0.33321448356524214,1.2826189009046802,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,1.169567209448286,-1.1649480410966973,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,-0.9779516899316951,0.2177723556628933
-0.2151222093659063,1970-01-01 00:00:00.000199904,-0.33321448356524214,1970-01-01 00:00:00.000202903,41620,-0.728237408955811,-0.12707410274068895,0.003282348960905063,0.7540175142054648,0.0598475046514972,0.00476222268068034,-0.1486051021483593,N,FRM  ,UT,84000,F199Q1110727,0.07179781220403987,0.7420525492687906,CO,COUNTRYWIDE         ,-0.4959740853181712,-0.20813016434737933,-0.7762413935940163,2000-01-01 00:00:00.000199904,0.07183668368382802,,35-50%,Low Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,0.03412024347921459,-0.1622059135564682
0.9805873180889861,1970-01-01 00:00:00.000199903,-0.33321448356524214,1970-01-01 00:00:00.000202902,31084,-0.728237408955811,-0.12707410274068895,0.2001594373769752,-2.2756661858994365,1.5991242207046847,0.20178066331790756,-1.2413043129685595,N,FRM  ,CA,90200,F199Q1372782,0.07179781220403987,0.7420525492687906,FI,SUNTRUSTMORTGAGEINC,-0.4959740853181712,-0.20813016434737933,-0.6677856923144783,2000-01-01 00:00:00.000199903,0.07183668368382802,,<20%,Low Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,-1.2535600914883442,-2.2314894020969205
-1.606849692141273,1970-01-01 00:00:00.000199903,-0.33321448356524214,1970-01-01 00:00:00.000202902,31140,-0.728237408955811,-0.12707410274068895,0.2001594373769752,0.14808077418448456,-0.09032583350003329,0.20178066331790756,-0.1486051021483593,N,FRM  ,KY,40200,F199Q1236526,0.07179781220403987,0.7420525492687906,OL,BAMORTGAGELLC      ,-0.4959740853181712,-0.20813016434737933,-0.6894768325703858,2000-01-01 00:00:00.000199903,0.07183668368382802,,20-35%,Low Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,-0.07867550396372971,-0.23794354641038037
1.6274465706465508,1970-01-01 00:00:00.000199904,-0.33321448356524214,1970-01-01 00:00:00.000202903,47644,-0.728237408955811,-0.12707410274068895,-2.4248684081706267,1.3599542542264451,-1.404342542325925,-2.4251318785117886,0.2156279681250407,N,FRM  ,MI,48000,F199Q1113402,0.07179781220403987,-1.3476134553885541,CO,COUNTRYWIDE         ,-0.4959740853181712,-0.20813016434737933,0.28662447894545695,2000-01-01 00:00:00.000199904,0.07183668368382802,,35-50%,Low Risk,-0.4959740853181712,-0.33321448356524214,-0.7796548135183896,0.23508143790497973,-0.15178154045069836,-0.01576291524174028,-0.019036612608745538,-0.04983301298258457,-0.322703241316892,0.43543063262715476,-0.008712527609845729,-0.03740653548528419,-0.8550171310563032,0.8584073836105057,-0.4015726548520877,-0.14347301851656122,-0.1950509169456643,-0.595071934047402,2.2132528872770156
